SampleID	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
18A	526	5.178176155	0.82648479	7/14/14	18	A	LL13016	1	10	3	2	3	39.1	Sh	Sh	1	1	1	0	0	1	2	1	77	77.8	2	1	2	2	4	2	131
18B	4714	6.218559975	0.735202794	7/15/14	18	B	LL13016	1	11	3	2	3	38.6	Sh	NS	2	1	0	0	0	1	2	1	NA	77.8	2	1	2	2	4	2	132
18C	6322	6.451364104	0.73714788	7/16/14	18	C	LL13016	1	12	3	2	3	38.6	Sh	Sh	3	1	1	0	0	1	2	1	71	77.8	2	1	2	2	4	2	133
18D	5676	6.54561154	0.757243174	7/17/14	18	D	LL13016	1	13	3	2	3	38.7	Sh	Sh	4	1	1	0	0	1	2	1	84	77.8	2	1	2	0	2	1	134
18E	5730	6.519747896	0.753425769	7/18/14	18	E	LL13016	1	14	3	2	3	38.5	Sh	Sh	5	1	2	1	2	1	2	1	79	77.8	2	1	2	1	3	2	135
35A	5859	6.684091359	0.770435238	7/14/14	35	A	LL13122	1	9	3	1	3	39.3	Sh	Sh	1	1	1	0	0	0	1	1	35	43.6	0	0	0	2	4	0	136
35B	4497	6.208831724	0.73816542	7/15/14	35	B	LL13122	1	10	4	1	3	38.8	Sh	NS	2	1	0	0	0	0	1	1	43	43.6	0	0	0	2	4	0	137
35C	4647	6.111496928	0.723769953	7/16/14	35	C	LL13122	1	11	3	1	3	38.3	Sh	NS	3	1	0	0	0	0	1	1	44	43.6	0	0	0	2	4	0	138
35D	5369	6.285177268	0.731821934	7/17/14	35	D	LL13122	1	12	3	1	3	38.8	Sh	NS	4	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	139
35E	5155	6.430901261	0.752352611	7/18/14	35	E	LL13122	1	13	3	1	3	38.6	Sh	NS	5	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	140
1A	3107	5.562498284	0.691731459	7/14/14	1	A	LL13140	1	14	2	2	3	38	Sh	Sh	1	1	1	0	0	2	2	1	45	47.8	3	1	3	2	4	2	141
1B	2910	5.413924833	0.678784734	7/15/14	1	B	LL13140	1	15	3	2	3	38.4	Sh	Sh	2	1	1	0	0	2	2	1	48	47.8	3	1	3	2	4	2	142
1C	602	4.708259123	0.735635896	7/16/14	1	C	LL13140	1	16	3	2	3	38.3	Sh	Sh	3	1	1	0	0	2	2	1	49	47.8	3	1	3	0	2	1	143
1D	2248	5.351172819	0.693355029	7/17/14	1	D	LL13140	1	17	1	2	3	38.6	Sh	Sh	4	1	2	1	2	2	2	1	46	47.8	3	1	3	1	3	2	144
1E	3333	5.636997019	0.694927944	7/18/14	1	E	LL13140	1	18	3	2	3	38.9	Sh	Sh	5	1	3	1	1	2	2	1	51	47.8	3	1	3	1	1	2	145
10A	4837	6.541182193	0.770997603	7/14/14	10	A	LL13254	1	11	3	2	2	38.9	Sh	Sh	1	1	3	1	1	2	2	1	73	62.6	3	1	1	1	1	2	146
10B	6006	6.761491682	0.777137016	7/15/14	10	B	LL13254	1	12	3	2	2	38.4	Sh	Sh	2	1	3	1	1	2	2	1	51	62.6	3	1	1	1	1	2	147
10C	5149	6.678226332	0.78139369	7/16/14	10	C	LL13254	1	13	3	2	2	38.6	Sh	Sh	3	1	3	1	1	2	2	1	61	62.6	3	1	1	1	1	2	148
10D	4590	6.620473611	0.785194493	7/17/14	10	D	LL13254	1	14	3	2	2	38.5	Sh	Sh	4	1	1	0	0	2	2	1	63	62.6	3	1	1	2	4	2	149
10E	4420	6.53873007	0.778986405	7/18/14	10	E	LL13254	1	15	3	2	2	38.3	Sh	Sh	5	1	1	0	0	2	2	1	65	62.6	3	1	1	2	4	2	150
6A	4365	6.34769367	0.757357215	7/14/14	6	A	LL7957	4	13	3	3	1	38.9	NS	NS	1	1	0	0	0	1	0	1	92	90	1	1	1	2	4	2	151
