SampleID	OTUcts	OTUctsnormed	Normrich	Normshann	Normeven	Scaledrich	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	Parity_1	DIM	DIM_1	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Path_1.0	Path_1.1	Pathotype_1	Pathotype_2	Pattern_1.0	Pattern_1.1	Pattern_1.2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	Evnev_1.0	Evnev_1.1	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
34A	43752	11620.71713	4139	5.759751255	0.691595386	-0.031583543	4139	5.759751255	0.691595386	7/14/14	34	A	LL11816	3	3	5	1	3	2	3	38.7	Sh	Sh	1	1	1	1	0	0	0	1	0	0	0	0	0	110	103.4	0	1	0	0	0	2	4	0	116
34B	73332	11638.15267	6940	6.370777337	0.720264132	2.281240117	6940	6.370777337	0.720264132	7/15/14	34	B	LL11816	3	3	6	1	3	2	3	38.6	Sh	NS	2	1	0	1	0	0	0	1	0	0	0	0	0	98	103.4	0	1	0	0	0	2	4	0	117
34C	53190	9811.842833	5896	6.409683161	0.738270149	1.419195168	5896	6.409683161	0.738270149	7/16/14	34	C	LL11816	3	3	7	1	3	2	3	38.9	Sh	Sh	3	1	1	1	0	0	0	1	0	0	0	0	0	104	103.4	0	1	0	0	0	2	4	0	118
34D	11506	12137.1308	1258	5.721516889	0.801638459	-2.410464288	1258	5.721516889	0.801638459	7/17/14	34	D	LL11816	3	3	8	1	3	2	3	38.7	Sh	Sh	4	1	1	1	0	0	0	1	0	0	0	0	0	80	103.4	0	1	0	0	0	2	4	0	119
34E	35224	8808.202051	4333	6.231833082	0.74418696	0.128604886	4333	6.231833082	0.74418696	7/18/14	34	E	LL11816	3	3	9	1	3	2	3	38.4	Sh	NS	5	1	0	1	0	0	0	1	0	0	0	0	0	125	103.4	0	1	0	0	0	2	4	0	120
35A	43137	7676.988788	5859	6.684091359	0.770435238	1.388643767	5859	6.684091359	0.770435238	7/14/14	35	A	LL13122	1	1	9	1	3	1	3	39.3	Sh	Sh	1	1	1	1	0	0	0	1	0	0	0	1	1	35	43.6	0	1	0	0	0	2	4	0	136
35B	40622	9678.818203	4497	6.208831724	0.73816542	0.264021908	4497	6.208831724	0.73816542	7/15/14	35	B	LL13122	1	1	10	1	4	1	3	38.8	Sh	NS	2	1	0	1	0	0	0	1	0	0	0	1	1	43	43.6	0	1	0	0	0	2	4	0	137
35C	44164	10342.85714	4647	6.111496928	0.723769953	0.387878941	4647	6.111496928	0.723769953	7/16/14	35	C	LL13122	1	1	11	0	3	1	3	38.3	Sh	NS	3	1	0	1	0	0	0	1	0	0	0	1	1	44	43.6	0	1	0	0	0	2	4	0	138
35D	45739	8945.628789	5369	6.285177268	0.731821934	0.984044126	5369	6.285177268	0.731821934	7/17/14	35	D	LL13122	1	1	12	0	3	1	3	38.8	Sh	NS	4	1	0	1	0	0	0	1	0	0	0	1	1	48	43.6	0	1	0	0	0	2	4	0	139
35E	44222	9067.459504	5155	6.430901261	0.752352611	0.807341426	5155	6.430901261	0.752352611	7/18/14	35	E	LL13122	1	1	13	0	3	1	3	38.6	Sh	NS	5	1	0	1	0	0	0	1	0	0	0	1	1	48	43.6	0	1	0	0	0	2	4	0	140
38A	33731	18037.96791	3693	5.893463049	0.717473041	-0.399851788	3693	5.893463049	0.717473041	7/14/14	38	A	LL12346	2	2	7	1	3	2	3	38.5	Sh	Sh	1	1	3	0	1	1	1	0	1	0	1	0	0	97	93.2	1	0	1	1	1	1	1	2	121
38B	39985	17384.78261	4584	6.148640959	0.729347838	0.335858987	4584	6.148640959	0.729347838	7/15/14	38	B	LL12346	2	2	8	1	3	2	3	38.4	Sh	NS	2	1	0	1	0	0	0	0	1	0	1	0	0	91	93.2	1	0	1	1	1	2	4	2	122
38C	30015	16102.46781	3693	6.112981768	0.744197356	-0.399851788	3693	6.112981768	0.744197356	7/16/14	38	C	LL12346	2	2	9	1	3	2	3	38.5	Sh	NS	3	1	0	1	0	0	0	0	1	0	1	0	0	90	93.2	1	0	1	1	1	2	4	2	123
38D	34895	9173.238696	4121	6.1201752	0.735257647	-0.046446387	4121	6.1201752	0.735257647	7/17/14	38	D	LL12346	2	2	10	1	3	2	3	38.5	Sh	NS	4	1	0	1	0	0	0	0	1	0	1	0	0	93	93.2	1	0	1	1	1	2	4	2	124
38E	32442	9896.888347	3628	6.03281188	0.736028596	-0.453523169	3628	6.03281188	0.736028596	7/18/14	38	E	LL12346	2	2	11	0	3	2	3	38.4	Sh	NS	5	1	0	1	0	0	0	0	1	0	1	0	0	95	93.2	1	0	1	1	1	2	4	2	125
39A	41487	15047.87813	5483	6.561991695	0.76218852	1.078175471	5483	6.561991695	0.76218852	7/14/14	39	A	LL11996	3	3	6	1	3	2	2	38.7	NS	NS	1	1	0	1	0	0	0	1	0	0	0	1	1	54	60.8	0	1	0	0	0	2	4	0	166
39B	20509	13582.11921	1958	5.982466732	0.789277075	-1.832464801	1958	5.982466732	0.789277075	7/15/14	39	B	LL11996	3	3	7	1	3	2	2	38.7	NS	NS	2	1	0	1	0	0	0	1	0	0	0	1	1	50	60.8	0	1	0	0	0	2	4	0	167
39C	39449	8221.967486	5126	6.479792088	0.758573017	0.783395733	5126	6.479792088	0.758573017	7/16/14	39	C	LL11996	3	3	8	1	3	2	2	38.6	NS	NS	3	1	0	1	0	0	0	1	0	0	0	1	1	54	60.8	0	1	0	0	0	2	4	0	168
39D	34600	8457.589831	4389	6.296481543	0.750755829	0.174844845	4389	6.296481543	0.750755829	7/17/14	39	D	LL11996	3	3	9	1	4	2	2	38.8	NS	NS	4	1	0	1	0	0	0	1	0	0	0	1	1	64	60.8	0	1	0	0	0	2	4	0	169
39E	37051	8819.56677	4496	6.202767777	0.737463979	0.263196195	4496	6.202767777	0.737463979	7/18/14	39	E	LL11996	3	3	10	1	3	2	2	38.8	NS	NS	5	1	0	1	0	0	0	1	0	0	0	1	1	82	60.8	0	1	0	0	0	2	4	0	170
42A	40876	9281.562216	4761	6.240370282	0.736917018	0.482010286	4761	6.240370282	0.736917018	7/14/14	42	A	LL6881	5	3	7	1	2	2	2	39.3	Sh	Sh	1	1	1	1	0	0	0	1	0	0	0	2	1	66	63	0	1	0	0	0	2	4	0	101
42B	42335	8601.178383	5273	6.549076188	0.764154622	0.904775625	5273	6.549076188	0.764154622	7/15/14	42	B	LL6881	5	3	8	1	3	2	2	39.1	Sh	NS	2	1	0	1	0	0	0	1	0	0	0	2	1	59	63	0	1	0	0	0	2	4	0	102
42C	54255	9515.082427	6078	6.487204616	0.744591795	1.569475035	6078	6.487204616	0.744591795	7/16/14	42	C	LL6881	5	3	9	1	3	2	2	39.2	Sh	Sh	3	1	1	1	0	0	0	1	0	0	0	2	1	62	63	0	1	0	0	0	2	4	0	103
42D	31731	14071.3969	4473	6.516443184	0.77523042	0.244204783	4473	6.516443184	0.77523042	7/17/14	42	D	LL6881	5	3	10	1	3	2	2	38.9	Sh	Sh	4	1	1	1	0	0	0	1	0	0	0	2	1	66	63	0	1	0	0	0	2	4	0	104
42E	44317	9520.300752	5058	6.255468972	0.733458744	0.727247211	5058	6.255468972	0.733458744	7/18/14	42	E	LL6881	5	3	11	0	3	2	2	39.1	Sh	NS	5	1	0	1	0	0	0	1	0	0	0	2	1	62	63	0	1	0	0	0	2	4	0	105
44A	33426	8540.112417	4224	6.294159434	0.753923569	0.038602109	4224	6.294159434	0.753923569	7/14/14	44	A	LL12415	2	2	3	1	3	3	3	39.8	Sh	Sh	1	1	1	1	0	0	0	1	0	0	0	1	1	65	54	0	1	0	0	0	2	4	0	126
44B	30062	8821.00939	3669	6.041873392	0.736124885	-0.419668913	3669	6.041873392	0.736124885	7/15/14	44	B	LL12415	2	2	4	1	4	3	3	39.4	Sh	NS	2	1	0	1	0	0	0	1	0	0	0	1	1	49	54	0	1	0	0	0	2	4	0	127
44C	33662	9742.981187	3716	5.926407726	0.720938822	-0.380860376	3716	5.926407726	0.720938822	7/16/14	44	C	LL12415	2	2	5	1	3	3	3	39.8	Sh	NS	3	1	0	1	0	0	0	1	0	0	0	1	1	48	54	0	1	0	0	0	2	4	0	128
44D	43048	10535.48703	4424	6.006487277	0.715500977	0.203744819	4424	6.006487277	0.715500977	7/17/14	44	D	LL12415	2	2	6	1	3	3	3	39.9	Sh	NS	4	1	0	1	0	0	0	1	0	0	0	1	1	51	54	0	1	0	0	0	2	4	0	129
44E	48450	12920	4209	5.747133071	0.68869342	0.026216405	4209	5.747133071	0.68869342	7/18/14	44	E	LL12415	2	2	7	1	3	3	3	39.4	Sh	NS	5	1	0	1	0	0	0	1	0	0	0	1	1	57	54	0	1	0	0	0	2	4	0	130
