SampleID	Obs_richness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
15A	4417	7/14/14	15	A	LL13213	1	13	3	2	3	38.6	NS	NS	1	1	0	0	0	0	0	0	58	60.2	0	0	0	2	4	0	181
15B	3992	7/15/14	15	B	LL13213	1	14	3	2	3	38.5	NS	NS	2	1	0	0	0	0	0	0	59	60.2	0	0	0	2	4	0	182
15C	4392	7/16/14	15	C	LL13213	1	15	3	2	3	38.9	NS	NS	3	1	0	0	0	0	0	0	62	60.2	0	0	0	2	4	0	183
15D	3442	7/17/14	15	D	LL13213	1	16	3	2	3	38.6	NS	Sh	4	1	1	0	0	0	0	0	58	60.2	0	0	0	2	4	0	184
15E	3515	7/18/14	15	E	LL13213	1	17	3	2	3	38.6	NS	Sh	5	1	1	0	0	0	0	0	64	60.2	0	0	0	2	4	0	185
8A	4428	7/14/14	8	A	LL13224	1	9	3	2	3	38.4	NS	NS	1	1	0	0	0	2	0	0	NA	64	3	1	1	2	4	2	186
8B	5580	7/15/14	8	B	LL13224	1	10	3	2	3	38.5	NS	NS	2	1	0	0	0	2	0	0	67	64	3	1	1	0	0	1	187
8C	4789	7/16/14	8	C	LL13224	1	11	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	0	0	67	64	3	1	1	1	1	2	188
8D	3439	7/17/14	8	D	LL13224	1	12	3	2	3	38.9	NS	Sh	4	1	1	0	0	2	0	0	68	64	3	1	1	0	0	1	189
8E	2892	7/18/14	8	E	LL13224	1	13	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	0	0	54	64	3	1	1	1	1	2	190
29A	4442	7/14/14	29	A	LL13261	1	9	3	2	3	38.7	NS	NS	1	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	191
29B	6307	7/15/14	29	B	LL13261	1	10	3	2	3	38.9	NS	NS	2	1	0	0	0	0	1	1	69	73.6	0	0	0	2	4	0	192
29C	5009	7/16/14	29	C	LL13261	1	11	3	2	3	39.8	NS	NS	3	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	193
29D	4114	7/17/14	29	D	LL13261	1	12	3	2	3	38.5	NS	NS	4	1	0	0	0	0	1	1	76	73.6	0	0	0	2	4	0	194
29E	4925	7/18/14	29	E	LL13261	1	13	3	2	3	38.9	NS	NS	5	1	0	0	0	0	1	1	77	73.6	0	0	0	2	4	0	195
30A	6896	7/14/14	30	A	LL13265	1	14	3	2	4	38.9	NS	NS	1	1	0	0	0	1	0	0	59	63.8	1	1	1	2	4	2	196
30B	6263	7/15/14	30	B	LL13265	1	15	3	2	4	38.4	NS	NS	2	1	0	0	0	1	0	0	63	63.8	1	1	1	2	4	2	197
30C	8414	7/16/14	30	C	LL13265	1	16	3	2	4	38.8	NS	Sh	3	1	1	0	0	1	0	0	61	63.8	1	1	1	0	0	1	198
30D	9913	7/17/14	30	D	LL13265	1	17	3	2	4	38.9	NS	Sh	4	1	3	1	1	1	0	0	68	63.8	1	1	1	1	1	2	199
30E	6736	7/18/14	30	E	LL13265	1	18	3	2	4	38.9	NS	Sh	5	1	1	0	0	1	0	0	68	63.8	1	1	1	2	4	2	200
