SampleID	Obs_richness	Shannon_norm	Shannon_nonnorm	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
24A	3810	6.093948117	6.093948117	7/14/14	24	A	LL11473	3	17	3	2	3	38.9	NS	NS	1	1	0	0	0	0	0	0	95	98.8	0	0	0	2	4	0	156
24B	4949	6.392347599	6.392347599	7/15/14	24	B	LL11473	3	18	3	2	3	38.9	NS	NS	2	1	0	0	0	0	0	0	94	98.8	0	0	0	2	4	0	157
24C	5162	6.475798837	6.475798837	7/16/14	24	C	LL11473	3	19	3	2	3	38.6	NS	NS	3	1	0	0	0	0	0	0	100	98.8	0	0	0	2	4	0	158
24D	4831	6.433476198	6.433476198	7/17/14	24	D	LL11473	3	20	3	2	3	38.7	NS	NS	4	1	0	0	0	0	0	0	104	98.8	0	0	0	2	4	0	159
24E	4445	6.393796496	6.393796496	7/18/14	24	E	LL11473	3	21	3	2	3	38.7	NS	NS	5	1	0	0	0	0	0	0	101	98.8	0	0	0	2	4	0	160
7A	NA	0	0	7/14/14	7	A	LL11583	3	15	3	2	3	37.9	NS	NS	1	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	161
7B	4826	6.400042584	6.400042584	7/15/14	7	B	LL11583	3	16	3	2	3	38.4	NS	Sh	2	1	1	0	0	0	0	1	94	90.4	0	0	0	2	4	0	162
7C	5255	6.496453987	6.496453987	7/16/14	7	C	LL11583	3	17	3	2	3	38.4	NS	Sh	3	1	1	0	0	0	0	1	90	90.4	0	0	0	2	4	0	163
7D	4675	6.409818421	6.409818421	7/17/14	7	D	LL11583	3	18	3	2	3	39	NS	NS	4	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	164
7E	5153	6.468764757	6.468764757	7/18/14	7	E	LL11583	3	19	3	2	3	38.1	NS	NS	5	1	0	0	0	0	0	1	94	90.4	0	0	0	2	4	0	165
39A	5483	6.561991695	6.561991695	7/14/14	39	A	LL11996	3	6	3	2	2	38.7	NS	NS	1	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	166
39B	1958	5.982466732	5.982466732	7/15/14	39	B	LL11996	3	7	3	2	2	38.7	NS	NS	2	1	0	0	0	0	1	1	50	60.8	0	0	0	2	4	0	167
39C	5126	6.479792088	6.479792088	7/16/14	39	C	LL11996	3	8	3	2	2	38.6	NS	NS	3	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	168
39D	4389	6.296481543	6.296481543	7/17/14	39	D	LL11996	3	9	4	2	2	38.8	NS	NS	4	1	0	0	0	0	1	1	64	60.8	0	0	0	2	4	0	169
39E	4496	6.202767777	6.202767777	7/18/14	39	E	LL11996	3	10	3	2	2	38.8	NS	NS	5	1	0	0	0	0	1	1	82	60.8	0	0	0	2	4	0	170
14A	4019	5.892421382	5.892421382	7/14/14	14	A	LL12276	2	11	3	2	4	38.9	NS	NS	1	1	0	0	0	0	2	1	105	109.4	0	0	0	2	4	0	171
14B	3367	5.113371323	5.113371323	7/15/14	14	B	LL12276	2	12	3	2	4	38.9	NS	NS	2	1	0	0	0	0	2	1	114	109.4	0	0	0	2	4	0	172
14C	4065	5.886357853	5.886357853	7/16/14	14	C	LL12276	2	13	3	2	4	38.9	NS	Sh	3	1	1	0	0	0	2	1	100	109.4	0	0	0	2	4	0	173
14D	3996	5.910892771	5.910892771	7/17/14	14	D	LL12276	2	14	3	2	4	38.9	NS	NS	4	1	0	0	0	0	2	1	118	109.4	0	0	0	2	4	0	174
14E	4444	6.269295457	6.269295457	7/18/14	14	E	LL12276	2	15	3	2	4	39.3	NS	NS	5	1	0	0	0	0	2	1	110	109.4	0	0	0	2	4	0	175
48A	3820	6.248972079	6.248972079	7/14/14	48	A	LL12484	2	3	2	2	3	38.6	NS	NS	1	1	0	0	0	2	2	1	95	93.6	3	1	1	0	0	1	176
48B	3099	5.98736598	5.98736598	7/15/14	48	B	LL12484	2	4	3	2	3	38.4	NS	Sh	2	1	3	1	1	2	2	1	86	93.6	3	1	1	1	1	2	177
48C	5096	6.077918442	6.077918442	7/16/14	48	C	LL12484	2	5	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	2	1	92	93.6	3	1	1	1	1	2	178
48D	2009	5.791183371	5.791183371	7/17/14	48	D	LL12484	2	6	3	2	3	38.6	NS	Sh	4	1	3	1	1	2	2	1	97	93.6	3	1	1	1	1	2	179
48E	3474	5.98799545	5.98799545	7/18/14	48	E	LL12484	2	7	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	2	1	98	93.6	3	1	1	1	1	2	180
15A	4417	6.326686663	6.326686663	7/14/14	15	A	LL13213	1	13	3	2	3	38.6	NS	NS	1	1	0	0	0	0	0	0	58	60.2	0	0	0	2	4	0	181
15B	3992	6.157624151	6.157624151	7/15/14	15	B	LL13213	1	14	3	2	3	38.5	NS	NS	2	1	0	0	0	0	0	0	59	60.2	0	0	0	2	4	0	182
15C	4392	6.199878976	6.199878976	7/16/14	15	C	LL13213	1	15	3	2	3	38.9	NS	NS	3	1	0	0	0	0	0	0	62	60.2	0	0	0	2	4	0	183
15D	3442	5.367070196	5.367070196	7/17/14	15	D	LL13213	1	16	3	2	3	38.6	NS	Sh	4	1	1	0	0	0	0	0	58	60.2	0	0	0	2	4	0	184
15E	3515	5.933195512	5.933195512	7/18/14	15	E	LL13213	1	17	3	2	3	38.6	NS	Sh	5	1	1	0	0	0	0	0	64	60.2	0	0	0	2	4	0	185
8A	4428	6.448676459	6.448676459	7/14/14	8	A	LL13224	1	9	3	2	3	38.4	NS	NS	1	1	0	0	0	2	0	0	NA	64	3	1	1	2	4	2	186
8B	5580	6.615445372	6.615445372	7/15/14	8	B	LL13224	1	10	3	2	3	38.5	NS	NS	2	1	0	0	0	2	0	0	67	64	3	1	1	0	0	1	187
8C	4789	6.599190477	6.599190477	7/16/14	8	C	LL13224	1	11	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	0	0	67	64	3	1	1	1	1	2	188
8D	3439	6.438402561	6.438402561	7/17/14	8	D	LL13224	1	12	3	2	3	38.9	NS	Sh	4	1	1	0	0	2	0	0	68	64	3	1	1	0	0	1	189
8E	2892	6.196607305	6.196607305	7/18/14	8	E	LL13224	1	13	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	0	0	54	64	3	1	1	1	1	2	190
29A	4442	5.777918426	5.777918426	7/14/14	29	A	LL13261	1	9	3	2	3	38.7	NS	NS	1	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	191
29B	6307	6.308847065	6.308847065	7/15/14	29	B	LL13261	1	10	3	2	3	38.9	NS	NS	2	1	0	0	0	0	1	1	69	73.6	0	0	0	2	4	0	192
29C	5009	6.006461105	6.006461105	7/16/14	29	C	LL13261	1	11	3	2	3	39.8	NS	NS	3	1	0	0	0	0	1	1	73	73.6	0	0	0	2	4	0	193
29D	4114	5.890013302	5.890013302	7/17/14	29	D	LL13261	1	12	3	2	3	38.5	NS	NS	4	1	0	0	0	0	1	1	76	73.6	0	0	0	2	4	0	194
29E	4925	6.03306588	6.03306588	7/18/14	29	E	LL13261	1	13	3	2	3	38.9	NS	NS	5	1	0	0	0	0	1	1	77	73.6	0	0	0	2	4	0	195
30A	6896	6.497995575	6.497995575	7/14/14	30	A	LL13265	1	14	3	2	4	38.9	NS	NS	1	1	0	0	0	1	0	0	59	63.8	1	1	1	2	4	2	196
30B	6263	6.50771993	6.50771993	7/15/14	30	B	LL13265	1	15	3	2	4	38.4	NS	NS	2	1	0	0	0	1	0	0	63	63.8	1	1	1	2	4	2	197
30C	8414	6.571874721	6.571874721	7/16/14	30	C	LL13265	1	16	3	2	4	38.8	NS	Sh	3	1	1	0	0	1	0	0	61	63.8	1	1	1	0	0	1	198
30D	9913	6.79264213	6.79264213	7/17/14	30	D	LL13265	1	17	3	2	4	38.9	NS	Sh	4	1	3	1	1	1	0	0	68	63.8	1	1	1	1	1	2	199
30E	6736	6.450031434	6.450031434	7/18/14	30	E	LL13265	1	18	3	2	4	38.9	NS	Sh	5	1	1	0	0	1	0	0	68	63.8	1	1	1	2	4	2	200
